objectid,title,creator,date,work,discipline,subject,location,ocn,filename,format,latitude,longitude,type,description
wa1,"For Us, By Us: Indigenous Land-based Science Learning",Marissa Spang,2017,Thesis,Education,Everyday Indigeneity; Indigenous Science; Indigenous Youth; Land-based; Science Learning; STEM Learning; Educational psychology,University of Washington,1003324891,https://digital.lib.washington.edu/researchworks/items/c2783ce3-a9b6-41e0-b676-6645bebd7713,Record,47.65791637,-122.3068518,Text,"Indigenous students and families who are learning ‘science’ or ‘STEM’ in settler societies (e.g. the United States and Canada) are forced to engage in formal and informal science learning settings that are predominantly founded upon a settler, Western science that not only positions its science as “real” or “The” science, but also positions Indigenous students’ epistemologies and ontologies as not “real knowing” or relevant to “real science.” This erasure paradigm in science learning settings is a reflection of the large settler-colonial system that seeks to erase and supplant Indigeneity. This must shift if Indigenous student STEM trajectories are to not only improve, but also improve in ways that are accountable to and grounded in their Indigenous value systems, original relations and collective continuances. To build towards this, the current work re-frames and Indigenizes a prominent western human learning theory, i.e. Learning in Informal and Formal Environments (LIFE), to develop an Indigenous theory/story to LIFE, referred to as I-LIFE. Given I-LIFE is a theory/story about Indigenous life-long, life-deep, and life–wide learning, it is responsible for being put into Indigenous practice, i.e. lived directly in land and relations to be made fully meaningful. Thus, the second section of the current work outlines how I-LIFE unfolded in the form of Indigenous Land-based Science Learning (ILBSL) directly in/with the Cheyenne territory, by Cheyenne people and according to Cheyenne ontology, epistemology, axiology and collective continuance. To achieve this, ILBSL apprenticed and socialized Native students as good ancestors/bio-cultural restoration scientists to story, practice, adapt and synthesize Western science with/according to Cheyenne Science and values (including Sweet Medicine’s Adaptation Theory) through an ‘unceded time’ paradigm. This reciprocal relationing of story and practice, i.e. I-LIFE and ILBSL, respectively, is a promising strategy in increasing Native student learning, retention and trajectories in STEM by Indigenous peoples (i.e. according to Indigenous ontologies and axiologies), for Indigenous peoples (i.e. collective continuance). Together, I-LIFE and ILBSL achieved a pivotal Indigenous learning paradigm that is essential to the resurgence and reclaiming of Indigenous peoples’ sovereign knowledges, ontologies, axiologies and collective continuances. Thus, the current work has implications for other Indigenous communities seeking to reclaim their children’s learning through ILBSL so as continue their trajectories towards just and viable Indigenous futurities on Indigenous peoples’ terms."
wa2,Baring the Windigo’s Teeth: Fearsome Figures in Native American Narratives,Carol Edelman Warrior,2015,Dissertation,English,American Indian Literature; Colonialism; Indigenous Literature; Indigenous philosophy; Indigenous Social Organization; Native American Literature,University of Washington,934463583,https://digital.lib.washington.edu/researchworks/items/55d09c9b-60d6-4d54-95e9-b3dd99b4b17f,Record,47.65791637,-122.3068518,Text,"Whereas non-Native American fictional fearsome figures tend to produce anxiety from their resistance to categorization, their unpredictable movement, and their Otherness, many contemporary Native American writers re-imagine fearsome figures and monstrous systems as modeled after, and emergent from settler-colonial transgressions against Indigenous values and relationships: these behaviors spread to tribal people/s through incorporation or assimilation into the “body” of the fearsome figure. Such violations can be represented by, and better understood, through an exploration of the behavioral traits of the Algonquian figure of the Windigo, or wétiko, even when the text in question would not be classified as horror. In the Indigenous works of fiction that this dissertation explores, villainy is depicted as behavior that destroys balance, and disrupts the ability for life to reproduce itself without human mediation or technological intervention. In this dissertation, I develop and apply “Windigo Theory”: an Indigenous literary approach to reading Indigenous fiction, especially intended to aid recognition and comprehension of cultural critiques represented by the fearsome figures. I draw especially from four quarters: Jack D. Forbes’ concept of colonialism as a manifestation of wétiko psychosis; ethnographical works that feature fearsome figures from the stories of North American tribal peoples; Indigenous philosophical worldviews; and the figures in contemporary Native American novels that also serve as the objects of analysis. To show how fearsome figures disrupt Indigenous values and relationships, there is emphasis on what the fearsome figures do, as opposed to what fearsome figures are. In other words, this approach is geared to follow motion and relationships, rather than to define or circumscribe. As part of this work, I also explore the radical reinscription of generic conventions by Native authors, and discuss how some features of contemporary Indigenous fiction are extensions of “traditional” pre-contact narratives."
wa3,Winyan Okodakiciye: Indigenous Resurgence & Women Society Lifeways,Brook Spotted Eagle,2021,Dissertation,Anthropology,Auto-ethnography; Indigenous Anthropology; Indigenous Feminism; Indigenous Methodologies; Indigenous Resurgence; Native Studies; Cultural anthropology; Native American studies,University of Washington,1335089846,https://digital.lib.washington.edu/researchworks/items/a4263253-af4d-4bde-be36-1a83031e2b53,Record,47.65791637,-122.3068518,Text,"Winyan okodakiciye and Indigenous women led collectives and organizations play a vital role in our communities and movements. This dissertation examines the ways winyan okodakiciye work to address the community impacts of settler colonialism, colonial patriarchy, violence and historical oppression by nourishing resilience and providing community-care through Indigenous resurgence. The community care provided by winyan okodakiciye rooted in a deep relationality linking resilience to the powerful knowledge systems cradled within ceremony, language, cultural systems & structures. Following the works of Indigenous scholars of Glen Coulthard and Leanne Betasamosake, this can be recognized as a place-based lifeway standing upon a historical grounding of Indigenous systems and reveals living, breathing precolonial formation contemporarily driven by concepts and acts of rematriation, resistance, and resurgence."
wa4,Embodying Self-Determination: Re-placing Food Sovereignty through Everyday Geographies of Indigenous Resurgence,Michelle D. Daigle,2015,Dissertation,Geography,colonial-capitalist dispossession; decolonial love; food sovereignty; Indigenous geographies; Indigenous self-determination; resurgence,University of Washington,946448878,https://digital.lib.washington.edu/researchworks/items/bdeee1e6-e213-423e-82fa-72e1eda10935,Record,47.65791637,-122.3068518,Text,"This text is centered on how Indigenous foodways, specifically those of Anishinaabe people from the Treaty 3 territory in northwestern Ontario, cultivate an embodied self-determination from nourishing our bodies, minds and spirits to cultivating our kinship relations, to renewing our political economies and governance structures. Specifically, I bring place-based Anishinaabe knowledge and experiences into dialogue with food sovereignty scholarship, Indigenous studies and feminist geographies to examine how Indigenous foodways have and continue to be impacted by colonial-capitalist structures of violence, including historical legacies of genocidal practices of assimilation and contemporary colonialism reproduced through industry-sponsored forms of state-making, development and resource exploitation. Subsequently, I examine how Anishinaabe people embody self-determination through a balance of anti-colonial resistance and a resurgent politics. I argue that a resurgent politics is founded on the renewal of responsibilities to and a decolonial love for land, including the nexus of cultural traditions that make up land-based food practices such as language, storytelling and ceremonial protocols. Namely, everyday acts of resurgent decolonial love entail the rebuilding of intimate and spiritual relationships with family and land, the reclamation of ancestral territories and the re-envisioning, experimentation and embodiment of alternative political economies and governance structures. For Anishinaabe people, this resurgent decolonial love is founded in their ancestral law of mino bimaadiziwin or “living the good life”."
wa5,Supporting Nuu-chah-nulth Food Sovereignty by Recentering Indigenous Governance in Sea Otter Management,Lindsey Popkin,2021,Thesis,Marine and Environmental Affairs ,Conservation; Ecosystem Management; Food Sovereignty; Indigenous Governance; Indigenous Sovereignty; Indigenous Studies; Environmental justice; Environmental management; Native American studies,University of Washington,1288456570,https://digital.lib.washington.edu/researchworks/items/ba64aec4-4004-41e8-babd-ff35430fcf2a,Record,47.65791637,-122.3068518,Text,"Federal sea otter management in Canada faces scrutiny over its ability to adequately address impacts on Indigenous self-determination and food sovereignty. Many Nuu-chah-nulth First Nations maintain that their priorities, interests, and self-determination are undermined and excluded from current sea otter management. This thesis examines resurgence efforts by Nuu-chah-nulth Nations to re-establish ancestral governance through the case study of sea otter management on Vancouver Island. Through a critical synthesis of management reports and interviews with Indigenous and non-Indigenous actors, I consider past, present, and future plans for sea otter management on Vancouver Island through a feminist standpoint analysis. Findings suggest that structural inequities, divergent normative and material priorities, and ontological differences animate a divide between Nuu-chah-nulth and Canadian state governing bodies where it comes to sea otter management practices. Contemporary sea otter governance regimes in Canada are reproducing the unequal power relations of colonialism, to the detriment of social, environmental, legal considerations. I argue that Indigenous resurgence in sea otter management is an enactment of Nuu-chah-nulth food sovereignty, grounded in relationships of reciprocity between all non-humans and Nuu-chah-nulth Nations, and works towards revitalizing ancestral connections with the environment. Therefore, I identify a need to transform the current management system to one rooted in Nuu-chah-nulth knowledge, values, and leadership; such a governance structure would in turn be well-positioned to collaborate with non-Indigenous entities in a system that does not undermine these considerations."
wa6,Indigenous One Health: Connecting Traditional Ecological Knowledge and Western Science,Michelle Pollowitz,2023,Thesis,Environmental Health,Four R's; Indigenous Science; One Health; Qualitative Research; Traditional Ecological Knowledge; Two-Eyed Seeing; Environmental health,University of Washington,1455493262,https://digital.lib.washington.edu/researchworks/items/9590339e-2a87-4126-94b0-6a25dc5a6c42,Record,47.65791637,-122.3068518,Text,"The One Health approach, which assesses the interconnectedness of animal, human, and environmental health, fails to include and amplify Indigenous knowledge and Indigenous scientists. To effectively center Indigenous knowledge next to and within the One Health approach, which is historically based in Western science, the gaps and overlaps between Indigenous science, specifically Traditional Ecological Knowledge (TEK), and One Health must be explored. By encouraging the Indigenous method of Two-Eyed Seeing through collaboration between Indigenous and Western scientists, One Health must shift its framework to uphold Indigenous values. The objective of this project is to identify values in Indigenous science that are missing or underrepresented in Western science, and then collaboratively ideate actions that Western scientists can take as allies to center and support Indigenous sciences, models, and language so that Indigenous knowledge is elevated.From January to March 2023, the study team conducted semi-structured interviews with Indigenous scientists and knowledge keepers via Zoom video calls. Indigenous participants in the continental United States and Hawaiian Islands were recruited through Indigenous academic listservs, direct outreach to individuals interested in the project, and referrals from Indigenous leaders who had participated in a prior round of interviews in 2022. In that round of interviews, four themes emerged and called for further exploration of Indigenous perspectives on how 1) the natural world, 2) cultural heritage, 3) value expression, and 4) reflection influence worldviews and relationships to animals and other beings in the environment. These ideas were reframed into questions asked in a subsequent round of interviews in 2023. Theme identification methods were used to highlight recurrent and key ideas throughout the interviews. Participants noted gaps between their Indigenous worldviews and the One Health model, particularly relating to contrast with Western culture, holistic expression, power in action, identity and belonging, maintaining community and cultural practices, and sharing information/education. It was also noted that One Health must do more than uplift Indigenous values to support Indigenous scientists, such as collaborating with Traditional Ecological Knowledge keepers and encouraging practices that are inclusive and validating of other knowledge systems."
wa7,Indigenous Contributions to Arctic Biodiversity Conservation,Victoria Qutuuq Buschman,2021,Dissertation,Forestry,Arctic; Co-Production of Knowledge; Co-Productive Conservation; Indigenous; Indigenous Knowledge; Protected Areas; Conservation biology; Wildlife management; Wildlife conservation,University of Washington,1286913462,https://digital.lib.washington.edu/researchworks/items/ca42367c-38bd-49c5-a2ef-9b1e4310b201,Record,47.65791637,-122.3068518,Text,"A significant percentage of the earth’s surface is owned, used, and managed by Indigenous peoples, securing Indigenous communities a critical role in current and future biodiversity conservation efforts. Within the Arctic, Indigenous communities are already contributing knowledge, labor, resources, and time to research, management, and conservation governance. This dissertation research examines the contributions of Indigenous knowledge and communities to biodiversity conservation in the Arctic in three areas, (1) how the evolution of conservation planning and knowledge co-production facilitates the ability of Indigenous communities to contribute to current research and conservation efforts, (2) to what extent Indigenous communities use lands, waters, and species within Arctic protected areas and to what extent they are invited to engage in management efforts, and (3) how forwarding a new framework for co-productive conservation supports partnerships with Indigenous communities, knowledge, and governance can aid in the development of ethically, conscious, culturally-relevant, and fully knowledge-based conservation efforts. Results show that Indigenous communities are critical partners in conservation, bring valuable knowledge and information to the creation of shared evidence bases, and are prepared to lead new and innovative conservation efforts when there are opportunities to support both subsistence and conservation targets and goals."
wa8,"Indigenous Immigrant Youth’s Understanding of Indigeneity: Language, Power Inequities, and Self-Understanding",David Wotsbely Barillas Chón,2017,Dissertation,Education,Coloniality of Power; Immigration; Indigenous Youth; Language; Latinas/Latinos/Latinx; Education,University of Washington,1031117259,https://digital.lib.washington.edu/researchworks/items/45c19888-4d58-40d1-8056-3f88f4fbe1f2,Record,47.65791637,-122.3068518,Text,"This qualitative study seeks to address the question of how indigenous immigrant youth from Latin America make sense of indigeneity in their countries of origin and in the United States. For the last couple of decades, there has been a great expansion of scholarship in the area of Latina/o education. As the field has proliferated, studies focusing on the variation within Latina/o populations have also emerged, including variation based on different countries of origin (e.g., Darder & Torres, 2014; Suárez-Orozco, 1987) and gender (e.g., Ginorio & Huston, 2001; Hondagneu-Sotelo, 2003). One highly significant yet under-investigated source of variation within the Latina/o population are indigenous immigrants from Latin America (Barajas & Ruiz, 2012). This group has been routinely silenced in their countries of origin and subsumed within the study of Latina/os in the U.S. (e.g., Stephen, 2007; Urrieta, 2013). While their identities may be collapsed, their struggles are unique and persist. Because of the systematic ways indigenous populations have been rendered invisible, I use a “coloniality of power lens” (Dussel, 1995; Lugones, 2010; Maldonado-Torres, 2007; Mignolo, 1995, 2000; Quijano, 2000) to foreground systems of oppression and power and the construction of the self and other (Corntassel, 2003, 2012; Holm, Pearson, & Chavis, 2003). In order to better understand the experiences of indigenous Latin American youth who had migrated to the U.S., I conducted a qualitative study of eight self-identifying indigenous youth from Mexico and Guatemala. Primary data for this study consists of interviews with focal youth. Other data gathered include interviews with non-self-identified indigenous Latino youth, two teachers, and one Bilingual Student Services Facilitator. Analysis of the youth’s interviews yielded three important findings. The first relates to asymmetries of power based on language. The youth described hierarchies of language, the economic opportunities afforded to Spanish speakers, and the subordinate position of indigenous languages. The second finding relates to their understanding of the discrimination indigenous peoples experienced in countries of origin and in the United States. In particular, the youth identified the use of “indio” as a racial epithet. Indio is an important vestige of coloniality as it positions indigenous peoples as inferior. The third finding elaborates on how the youth made sense of themselves and others. Participants relied on the use of indicators for making sense of the category “indigenous;” through these indicators, the youth revealed a partial understanding of their own indigeneity. I posit that the process of sense making the youth engaged in exhibited particular kinds of understanding and awareness of indigeneity, including their own and of others. This dissertation is an important contribution to the field of Latina/o education because it fills empirical and conceptual gaps. First, it shows the forms of oppression and systems of power indigenous youth understand and operate from. It also provides insights into how indigenous youth make sense of themselves and of others from their own particular lived experiences. It gives a textual space for the youth to talk about themselves in ways that are self-affirming (Smith, 1999). The second contribution relates to the historicizing of racial formations in Latina/o education. Understanding the experiences of indigenous immigrant youth requires an unpacking of racial formations tied to power inequities. The coloniality of power is one frame that historically situates the construction of a racial/economic hierarchy in the Americas. As indigenous immigrant youth continue to immigrate, the coloniality of power lens helps us understand vestiges of coloniality currently present in their contexts of departure and colonizing contexts of reception."
wa9,Towards a New Conservation Model: Indigenous Knowledge and Decision-Making to Improve Conservation Efficacy,"
Alexa Schreier",2021,Thesis,Forestry,climate planning; co-management; Indigenous decision-making; Indigenous knowledge; Indigenous management; natural resource management; Environmental management,University of Washington,1286916639,https://digital.lib.washington.edu/researchworks/items/5cb9ee01-f98c-44ef-b890-44b918c4add6,Record,47.65791637,-122.3068518,Text,"In the United States, a lack of place-based, holistic knowledge and a failure to value Indigenous and local voices in decision-making perpetuates the existence of longstanding environmental issues. Furthermore, the policy process inadequately protects natural resources due to increasing political volatility, lacking value of alternative knowledge-forming processes, and inadequate engagement with local and Indigenous communities. In contrast, Indigenous communities use a different decision-making model than western entities, which generally results in a higher rate of achieving conservation objectives in natural resource management. While there is abundant literature calling for Indigenous co-management, it’s important to understand the difference and value of Indigenous decision-making. The following analysis presents multiple examples of successful Indigenous management and examines the case of aquatic species management in Western Washington, USA. The presented case study highlights that Indigenous decision-making values longstanding place-based knowledge; exercises consensus-based decision-making; and provides open and transparent communication with tribal leaders."
wa10,"A qualitative exploration of indigenous women’s experiences seeking obstetric care and the possibilities of intercultural medicine in Hospital San Antonio de Mitú, Vaupés",Emilia Cardenas,2023,Thesis,Global Health,Amazon; health services; hospital; indigenous; maternal child health; qualitative; Public health,University of Washington,1449653411,https://digital.lib.washington.edu/researchworks/items/3770f4c9-03e9-44c0-8f5d-ed1b1af7c6eb,Record,47.65791637,-122.3068518,Text,"The department of Vaupés in the Amazon region of Colombia accounts for some of the worst health indicators in the country. The majority of its population is indigenous, but the public health system available in the region is based on a decontextualized biomedical model that has been in place in Colombia since the health reform of 1993. The current health system has proved insufficient to address indigenous health realities, leading to poor access to health services, culturally incongruent hospital practices, and, ultimately, worrisome maternal-child indicators. This research focuses on understanding indigenous women’s ideas and practices of obstetric health, their decision-making processes regarding seeking hospital care, and the experiences they had when they did decide to visit the hospital (Hospital San Antonio de Mitú), focusing on the main barriers they face when attempting to access health care services. A qualitative study was conducted during June to September of 2022, which included participant observation in five communities and Hospital San Antonio de Mitú, in-depth interviews with five indigenous mothers, two indigenous healers, and the hospital manager, two focus groups with indigenous parents, and one focus group with hospital providers. Two sets of themes emerged from the data: the cultural clashes between indigenous health models and the biomedical model, and the logistical barriers that indigenous women face when trying to access the hospital."
